ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10292550,HY480354,10/28/2015 06:00:00 PM,004XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,113,1,2.0,32,06,1177352.0,1898428.0,2015,02/10/2018 03:50:01 PM,41.876620177,-87.62428048,"(41.876620177, -87.62428048)"
10292554,HY480235,10/27/2015 01:00:00 PM,033XX W ROOSEVELT RD,1330,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE/THEATER,False,False,1134,11,24.0,29,26,1154136.0,1894509.0,2015,02/10/2018 03:50:01 PM,41.866360685,-87.709626852,"(41.866360685, -87.709626852)"
10295426,HY483083,10/31/2015 12:49:00 AM,015XX N KINGSBURY ST,0610,BURGLARY,FORCIBLE ENTRY,MOVIE HOUSE/THEATER,False,False,1822,18,32.0,8,05,1169658.0,1910009.0,2015,02/10/2018 03:50:01 PM,41.908570145,-87.652192619,"(41.908570145, -87.652192619)"
10296278,HY484431,11/01/2015 02:05:00 AM,008XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,False,False,1933,19,44.0,6,06,1169880.0,1921449.0,2015,11/08/2015 03:53:19 PM,41.939957234,-87.651042721,"(41.939957234, -87.651042721)"
10296852,HY485278,10/31/2015 08:00:00 PM,001XX N STATE ST,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,111,1,42.0,32,06,1176332.0,1901592.0,2015,02/10/2018 03:50:01 PM,41.885325435,-87.627930066,"(41.885325435, -87.627930066)"
10304478,HY491245,10/30/2015 11:00:00 PM,066XX N NORTHWEST HWY,5011,OTHER OFFENSE,LICENSE VIOLATION,MOVIE HOUSE/THEATER,False,False,1612,16,41.0,9,26,1125138.0,1943761.0,2015,02/10/2018 03:50:01 PM,42.002043249,-87.814990079,"(42.002043249, -87.814990079)"
10309267,HY498266,11/11/2015 06:00:00 PM,055XX W HOMER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,MOVIE HOUSE/THEATER,False,False,2515,25,29.0,25,14,1139159.0,1912150.0,2015,02/10/2018 03:50:01 PM,41.915055232,-87.76417995,"(41.915055232, -87.76417995)"
10311139,HY499830,11/07/2015 08:00:00 PM,040XX N MILWAUKEE AVE,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,MOVIE HOUSE/THEATER,True,False,1624,16,45.0,15,22,1143297.0,1926444.0,2015,02/10/2018 03:50:01 PM,41.954202988,-87.748619056,"(41.954202988, -87.748619056)"
10313412,HY502368,11/14/2015 06:30:00 PM,014XX W WEBSTER AVE,0810,THEFT,OVER $500,MOVIE HOUSE/THEATER,False,False,1811,18,32.0,7,06,1165981.0,1914731.0,2015,11/21/2015 03:51:42 PM,41.921606937,-87.665565006,"(41.921606937, -87.665565006)"
10326969,HY517694,11/27/2015 12:00:00 AM,047XX N RACINE AVE,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,1913,19,46.0,3,06,1167451.0,1931818.0,2015,02/10/2018 03:50:01 PM,41.968462892,-87.659670442,"(41.968462892, -87.659670442)"
10326990,HY517696,11/27/2015 12:00:00 AM,047XX N RACINE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,MOVIE HOUSE/THEATER,False,False,1913,19,46.0,3,11,1167451.0,1931818.0,2015,02/10/2018 03:50:01 PM,41.968462892,-87.659670442,"(41.968462892, -87.659670442)"
10327252,HY518084,11/28/2015 11:00:00 PM,040XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,True,False,1624,16,45.0,15,06,1143297.0,1926444.0,2015,02/10/2018 03:50:01 PM,41.954202988,-87.748619056,"(41.954202988, -87.748619056)"
10327271,HY518069,11/28/2015 10:30:00 PM,006XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,False,False,1834,18,42.0,8,08B,1177327.0,1904307.0,2015,02/10/2018 03:50:01 PM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
10166385,HY354581,07/25/2015 12:50:00 AM,026XX N WESTERN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,MOVIE HOUSE/THEATER,False,True,1411,14,1.0,22,08B,1159915.0,1917314.0,2015,02/10/2018 03:50:01 PM,41.928822325,-87.687781609,"(41.928822325, -87.687781609)"
10186885,HY374741,08/08/2015 03:29:00 PM,008XX W BELMONT AVE,0620,BURGLARY,UNLAWFUL ENTRY,MOVIE HOUSE/THEATER,False,False,1933,19,44.0,6,05,1169880.0,1921449.0,2015,02/10/2018 03:50:01 PM,41.939957234,-87.651042721,"(41.939957234, -87.651042721)"
10192429,HY379889,08/12/2015 05:00:00 PM,014XX W WEBSTER AVE,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,False,False,1811,18,32.0,7,06,1165981.0,1914731.0,2015,02/10/2018 03:50:01 PM,41.921606937,-87.665565006,"(41.921606937, -87.665565006)"
10196559,HY384059,08/15/2015 10:41:00 PM,006XX N MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,MOVIE HOUSE/THEATER,True,False,1834,18,42.0,8,14,1177327.0,1904307.0,2015,02/10/2018 03:50:01 PM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
10199774,HY387011,08/18/2015 01:55:00 AM,076XX S CICERO AVE,0610,BURGLARY,FORCIBLE ENTRY,MOVIE HOUSE/THEATER,False,False,833,8,13.0,65,05,1145727.0,1853720.0,2015,08/31/2015 03:43:09 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
10202367,HY389692,08/19/2015 11:30:00 PM,041XX N BROADWAY,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,False,False,1915,19,46.0,3,06,1169375.0,1928001.0,2015,02/10/2018 03:50:01 PM,41.957947191,-87.652707514,"(41.957947191, -87.652707514)"
10202445,HY389749,08/19/2015 10:30:00 PM,002XX W 87TH ST,0810,THEFT,OVER $500,MOVIE HOUSE/THEATER,False,False,622,6,21.0,44,06,1176436.0,1847222.0,2015,08/31/2015 03:43:09 PM,41.736126864,-87.629184056,"(41.736126864, -87.629184056)"
10205372,HY391840,08/20/2015 03:00:00 PM,076XX S CICERO AVE,0810,THEFT,OVER $500,MOVIE HOUSE/THEATER,False,False,833,8,13.0,65,06,1145727.0,1853720.0,2015,02/10/2018 03:50:01 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
10205477,HY392178,08/21/2015 06:00:00 PM,045XX W CERMAK RD,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,1013,10,22.0,29,06,1146587.0,1888991.0,2015,02/10/2018 03:50:01 PM,41.851365752,-87.737480777,"(41.851365752, -87.737480777)"
10208678,HY395474,08/23/2015 06:00:00 PM,076XX S CICERO AVE,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,833,8,13.0,65,06,1145727.0,1853720.0,2015,02/10/2018 03:50:01 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
10211914,HY397985,08/25/2015 10:30:00 PM,022XX N DOMINICK ST,0810,THEFT,OVER $500,MOVIE HOUSE/THEATER,False,False,1811,18,32.0,7,06,1165725.0,1914839.0,2015,02/10/2018 03:50:01 PM,41.921908762,-87.666502527,"(41.921908762, -87.666502527)"
10214621,HY400653,08/27/2015 06:00:00 PM,047XX S DR MARTIN LUTHER KING JR DR,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,223,2,3.0,38,06,1179656.0,1873779.0,2015,09/10/2015 11:43:14 AM,41.808929094,-87.616576329,"(41.808929094, -87.616576329)"
10216812,HY403601,08/30/2015 12:15:00 PM,002XX W WASHINGTON ST,0820,THEFT,$500 AND UNDER,MOVIE HOUSE/THEATER,False,False,122,1,42.0,32,06,1174561.0,1900806.0,2015,02/10/2018 03:50:01 PM,41.883208368,-87.634456935,"(41.883208368, -87.634456935)"
10334363,HY524999,12/04/2015 06:30:00 PM,011XX S DELANO CT E,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,MOVIE HOUSE/THEATER,True,True,123,1,2.0,32,08B,1175192.0,1895356.0,2015,02/10/2018 03:50:01 PM,41.868239106,-87.632303345,"(41.868239106, -87.632303345)"
10335176,HY526210,12/05/2015 06:50:00 PM,011XX W LAWRENCE AVE,1330,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE/THEATER,True,False,2033,20,46.0,3,26,1167886.0,1932034.0,2015,02/10/2018 03:50:01 PM,41.969046206,-87.658064717,"(41.969046206, -87.658064717)"
10340082,HY530865,12/08/2015 07:15:00 PM,006XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,1834,18,42.0,8,06,1177327.0,1904307.0,2015,02/10/2018 03:50:01 PM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
10345607,HY536681,12/13/2015 06:15:00 PM,0000X E CONGRESS PKWY,0870,THEFT,POCKET-PICKING,MOVIE HOUSE/THEATER,False,False,113,1,2.0,32,06,1177026.0,1898089.0,2015,02/10/2018 03:50:01 PM,41.875697325,-87.625487699,"(41.875697325, -87.625487699)"
10351805,HY542546,12/18/2015 11:36:00 PM,026XX N WESTERN AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,True,False,1411,14,1.0,22,08B,1159915.0,1917314.0,2015,02/10/2018 03:50:01 PM,41.928822325,-87.687781609,"(41.928822325, -87.687781609)"
10352243,HY543076,12/19/2015 01:40:00 PM,076XX S CICERO AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,True,True,833,8,13.0,65,08B,1145727.0,1853720.0,2015,02/10/2018 03:50:01 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
10353917,HY545043,12/20/2015 02:00:00 AM,006XX N MICHIGAN AVE,0810,THEFT,OVER $500,MOVIE HOUSE/THEATER,False,False,1834,18,42.0,8,06,1177327.0,1904307.0,2015,12/27/2015 03:54:13 PM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
10354153,HY545322,12/20/2015 01:00:00 PM,003XX E ILLINOIS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,MOVIE HOUSE/THEATER,False,False,1834,18,42.0,8,11,1178708.0,1903688.0,2015,02/10/2018 03:50:01 PM,41.891023035,-87.619141016,"(41.891023035, -87.619141016)"
10357386,HY548490,12/24/2015 02:00:00 AM,039XX W LAWRENCE AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,True,False,1712,17,39.0,14,08B,1149081.0,1931603.0,2015,02/10/2018 03:50:01 PM,41.968249403,-87.72722196,"(41.968249403, -87.72722196)"
10358832,HY550042,12/25/2015 06:00:00 PM,055XX W HOMER ST,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,False,False,2515,25,29.0,25,06,1139159.0,1912150.0,2015,01/01/2016 03:54:40 PM,41.915055232,-87.76417995,"(41.915055232, -87.76417995)"
10359611,HY551133,12/26/2015 11:00:00 PM,011XX W LAWRENCE AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,True,False,2033,20,46.0,3,08B,1167886.0,1932034.0,2015,02/10/2018 03:50:01 PM,41.969046206,-87.658064717,"(41.969046206, -87.658064717)"
10363473,HY555237,12/30/2015 12:15:00 PM,055XX W HOMER ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,MOVIE HOUSE/THEATER,False,False,2515,25,29.0,25,26,1139159.0,1912150.0,2015,02/10/2018 03:50:01 PM,41.915055232,-87.76417995,"(41.915055232, -87.76417995)"
10364279,HY555531,12/30/2015 04:35:00 PM,026XX N WESTERN AVE,0870,THEFT,POCKET-PICKING,MOVIE HOUSE/THEATER,False,False,1411,14,1.0,22,06,1159915.0,1917314.0,2015,02/10/2018 03:50:01 PM,41.928822325,-87.687781609,"(41.928822325, -87.687781609)"
10046631,HY235743,04/25/2015 05:00:00 PM,040XX N MILWAUKEE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,MOVIE HOUSE/THEATER,False,False,1624,16,45.0,15,10,1143288.0,1926452.0,2015,02/10/2018 03:50:01 PM,41.954225109,-87.748651941,"(41.954225109, -87.748651941)"
10090752,HY279194,05/29/2015 01:28:00 AM,002XX W 87TH ST,1330,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE/THEATER,False,False,622,6,21.0,44,26,1176436.0,1847222.0,2015,02/10/2018 03:50:01 PM,41.736126864,-87.629184056,"(41.736126864, -87.629184056)"
